# host	dc02-pe-t137-n047
# kernel	5.15.152.bsk.15-amd64
# compiler	gcc 12.2.0
# flags	-std=c11 -O3 -march=native -mtune=native -DNDEBUG -flto -Wall -Wextra -Werror
# cpu	96
# cpu_topology	2 sockets; 64 cores/socket; SMT2; 256 logical CPUs; AMD EPYC 7Y83
# memory_node	3
# frequency_governor	performance
# file	/data27 local NVMe ext4
# repeats	7; small warm scan repeats=21
# source.mmap_pread_tradeoff_benchmark.c	bfc6a073f19bba3b0dc102f69c36de3ff50f566dbcf954b15759136ddf862889
# source.virtual_memory_benchmark_support.h	1a788082817c648a1d98ad15069768eca5e4db705523f4bd9d009bcc370074f1
# binary.mmap_pread_tradeoff_benchmark	713950d950f6f854ccb077081a3450a0c59422dd1343dccf93f701ef15282c54
case	metric	round_values
lookup-cold-512m-pread-reuse	perf_munmap	3
lookup-cold-512m-mmap-remap	ns_per_probe	66276.431,66333.307,66164.776,66311.393,66931.476,66381.245,66181.350
lookup-cold-512m-mmap-remap	elapsed_ms	2171.746,2173.610,2168.087,2172.892,2193.211,2175.181,2168.630
lookup-cold-512m-mmap-remap	logical_calls	2,2,2,2,2,2,2
lookup-cold-512m-mmap-remap	minor	0,0,0,0,0,0,0
lookup-cold-512m-mmap-remap	major	32768,32768,32768,32768,32768,32768,32768
lookup-cold-512m-mmap-remap	read_bytes	134217728,134217728,134217728,134217728,134217728,134217728,134217728
lookup-cold-512m-mmap-remap	checksum	4104105,4104105,4104105,4104105,4104105,4104105,4104105
lookup-cold-512m-mmap-remap	setup_us	0.099
lookup-cold-512m-mmap-remap	warmup_us	0.000
lookup-cold-512m-mmap-remap	perf_aperf	3101409641
lookup-cold-512m-mmap-remap	perf_mperf	2330133682
lookup-cold-512m-mmap-remap	perf_tsc	2323698210
lookup-cold-512m-mmap-remap	perf_task_clock_ms	1011.87
lookup-cold-512m-mmap-remap	perf_context_switches	229381
lookup-cold-512m-mmap-remap	perf_page_faults	229634
lookup-cold-512m-mmap-remap	perf_minor_faults	258
lookup-cold-512m-mmap-remap	perf_major_faults	229376
lookup-cold-512m-mmap-remap	perf_pread64	4
lookup-cold-512m-mmap-remap	perf_mmap	28
lookup-cold-512m-mmap-remap	perf_munmap	10
lookup-warm-2g-pread-reuse	ns_per_probe	607.865,445.391,424.011,426.889,446.290,450.770,456.825
lookup-warm-2g-pread-reuse	elapsed_ms	318.696,233.513,222.304,223.813,233.984,236.333,239.508
lookup-warm-2g-pread-reuse	logical_calls	524288,524288,524288,524288,524288,524288,524288
lookup-warm-2g-pread-reuse	minor	1,0,0,0,0,0,0
lookup-warm-2g-pread-reuse	major	0,0,0,0,0,0,0
lookup-warm-2g-pread-reuse	read_bytes	0,0,0,0,0,0,0
lookup-warm-2g-pread-reuse	checksum	65529581,65529581,65529581,65529581,65529581,65529581,65529581
lookup-warm-2g-pread-reuse	setup_us	0.400
lookup-warm-2g-pread-reuse	warmup_us	573130.449
lookup-warm-2g-pread-reuse	perf_aperf	7108625128
lookup-warm-2g-pread-reuse	perf_mperf	5358908784
lookup-warm-2g-pread-reuse	perf_tsc	5358806672
lookup-warm-2g-pread-reuse	perf_task_clock_ms	2192.52
lookup-warm-2g-pread-reuse	perf_context_switches	2004
lookup-warm-2g-pread-reuse	perf_page_faults	901
lookup-warm-2g-pread-reuse	perf_minor_faults	901
lookup-warm-2g-pread-reuse	perf_major_faults	0
